product_name,price,rating,review_count,url,score
"Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC) - Glossy Black",279.99,4.6,9622,/en-ca/product/samsung-32-1080p-hd-led-tizen-smart-tv-un32n5300afxzc-glossy-black/12471898,3851.5600000000004
"Sanus Advanced 42"" - 90"" Tilting TV Wall Mount",189.99,4.82,8883,/en-ca/product/sanus-advanced-42-90-tilting-tv-wall-mount/15178718,3556.092
Sony 1080p Upconverting DVD Player (DVPSR510H),79.99,4.57,6175,/en-ca/product/sony-sony-1080p-upconverting-dvd-player-dvpsr510h-dvpsr510h/10202250,2472.742
NVIDIA SHIELD Android TV Pro 16GB 4K HDR Media Streamer - English,259.99,4.65,4135,/en-ca/product/nvidia-shield-android-tv-pro-16gb-4k-hdr-media-streamer-english/14276267,1656.79
"Best Buy Essentials 37"" - 90"" Fixed TV Wall Mount - Only at Best Buy",39.99,4.69,3277,/en-ca/product/best-buy-essentials-37-90-fixed-tv-wall-mount-only-at-best-buy/16998381,1313.6140000000003
"Best Buy Essentials 19"" - 50"" Full Motion TV Wall Mount - Only at Best Buy",39.99,4.72,2786,/en-ca/product/best-buy-essentials-19-50-full-motion-tv-wall-mount-only-at-best-buy/16998382,1117.2320000000002
"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50DU6900FXZC) - 2024",399.99,4.53,2627,/en-ca/product/samsung-50-4k-uhd-hdr-led-tizen-smart-tv-un50du6900fxzc-2024/17905285,1053.518
"Sony Bravia XR 65"" X90L Series 4K UHD HDR LED Smart Google TV (XR65X90L)",1396.98,4.75,2029,/en-ca/product/sony-bravia-xr-65-x90l-series-4k-uhd-hdr-led-smart-google-tv-xr65x90l/17080860,814.45
"Samsung 55"" 4K UHD HDR QLED Tizen OS Smart TV (QN55Q60DAFXZC) - 2024",699.99,4.57,1782,/en-ca/product/samsung-55-4k-uhd-hdr-qled-tizen-os-smart-tv-qn55q60dafxzc-2024/17857411,715.542
"Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70DU6900FXZC) - 2024",799.99,4.45,1728,/en-ca/product/samsung-70-4k-uhd-hdr-led-tizen-smart-tv-un70du6900fxzc-2024/17905283,693.87
"Sony Bravia XR 75"" X90L Series 4K UHD HDR LED Smart Google TV (XR75X90L)",1799.99,4.75,1401,/en-ca/product/sony-bravia-xr-75-x90l-series-4k-uhd-hdr-led-smart-google-tv-xr75x90l/17080864,563.25
"Hisense 65"" 4K UHD HDR QLED Smart Google TV (65QD6N) - 2024",569.99,4.76,1031,/en-ca/product/hisense-65-4k-uhd-hdr-qled-smart-google-tv-65qd6n-2024/17909562,415.25600000000003
"Hisense 43"" 4K UHD HDR QLED Smart Google TV (43QD6N) - 2024",329.99,4.76,1030,/en-ca/product/hisense-43-4k-uhd-hdr-qled-smart-google-tv-43qd6n-2024/19186543,414.856
"Sony Bravia XR 85"" X90L Series 4K UHD HDR LED Smart Google TV (XR85X90L)",2299.99,4.74,987,/en-ca/product/sony-bravia-xr-nbsp-85-x90l-series-4k-uhd-hdr-led-smart-google-tv-xr85x90l/17080870,397.644
"TCL 43"" Q65 Series Q6-Series 4K UHD HDR QLED Smart Google TV (43Q651G-CA) - 2024",329.99,4.67,961,/en-ca/product/tcl-43-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-43q651g-ca-2024/17856035,387.20200000000006
"Sony Bravia XR 55"" X90L Series 4K UHD HDR LED Smart Google TV (XR55X90L)",1199.99,4.66,949,/en-ca/product/sony-bravia-xr-55-x90l-series-4k-uhd-hdr-led-smart-google-tv-xr55x90l/17080862,382.396
"TCL 65"" Q65 Series Q6-Series 4K UHD HDR QLED Smart Google TV (65Q651G-CA) - 2024",589.99,4.72,874,/en-ca/product/tcl-65-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-65q651g-ca-2024/17856038,352.432
"Hisense 40"" 1080p HD LED VIDAA Smart TV (40A4KV) - 2023",249.99,4.53,861,/en-ca/product/hisense-40-1080p-hd-led-vidaa-smart-tv-40a4kv-2023/16932602,347.11800000000005
Sony Wi-Fi Blu-ray Player (BDPS1700U),109.99,4.51,850,/en-ca/product/sony-wi-fi-blu-ray-player-bdps1700u/19217942,342.706
"TCL 75"" S5-Series 4K UHD HDR LED Smart Google TV (75S551G-CA) - 2024",749.99,4.68,838,/en-ca/product/tcl-75-s5-series-4k-uhd-hdr-led-smart-google-tv-75s551g-ca-2024/17856033,338.00800000000004
"TCL 55"" Q65 Series Q6-Series 4K UHD HDR QLED Smart Google TV (55Q651G-CA) - 2024",429.99,4.74,805,/en-ca/product/tcl-55-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-55q651g-ca-2024/17856037,324.844
"Samsung 75"" 4K UHD HDR Neo QLED Tizen Smart TV (QN75QN85DBFXZC) -2024- Graphite Black",1999.99,4.68,793,/en-ca/product/samsung-75-4k-uhd-hdr-neo-qled-tizen-smart-tv-qn75qn85dbfxzc-2024-graphite-black/17729481,320.00800000000004
"Sony Bravia 8 65"" XR80 Series 4K UHD HDR OLED Smart Google TV (K65XR80B) - 2024",2199.99,4.65,760,/en-ca/product/sony-bravia-8-65-xr80-series-4k-uhd-hdr-oled-smart-google-tv-k65xr80b-2024/17909540,306.79
"TCL 50"" Q65 Series Q6-Series 4K UHD HDR QLED Smart Google TV (50Q651G-CA) - 2024",399.99,4.6,758,/en-ca/product/tcl-50-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-50q651g-ca-2024/17856036,305.96
"Samsung 65"" 4K UHD HDR Neo QLED Tizen Smart TV (QN65QN85DBFXZC) - 2024 - Graphite Black",1399.99,4.67,724,/en-ca/product/samsung-65-4k-uhd-hdr-neo-qled-tizen-smart-tv-qn65qn85dbfxzc-2024-graphite-black/17729482,292.40200000000004
"Sony Bravia XR 55"" 4K UHD HDR OLED Smart Google TV (XR55A95L)",3299.99,4.67,653,/en-ca/product/sony-bravia-xr-55-4k-uhd-hdr-oled-smart-google-tv-xr55a95l/17230340,264.002
"LG 65"" G5 Series 4K UHD HDR OLED evo G5 webOS Smart TV (OLED65G5SUB) - 2025",3999.99,4.7,648,/en-ca/product/lg-65-g5-series-4k-uhd-hdr-oled-evo-g5-webos-smart-tv-oled65g5sub-2025/19275494,262.02
"TCL 75"" Q65 Series Q6-Series 4K UHD HDR QLED Smart Google TV (75Q651G-CA) - 2024",779.99,4.79,634,/en-ca/product/tcl-75-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-75q651g-ca-2024/17856039,256.47400000000005
"Sony 55"" 4K UHD HDR LED Smart Google TV (KD55X77L)",696.98,4.5,526,/en-ca/product/sony-55-4k-uhd-hdr-led-smart-google-tv-kd55x77l/17080857,213.1
"Hisense 65"" U68N Series 4K UHD HDR Mini LED QLED Smart Google TV (65U68N) - 2024",699.99,4.72,464,/en-ca/product/hisense-65-u68n-series-4k-uhd-hdr-mini-led-qled-smart-google-tv-65u68n-2024/17909552,188.43200000000002
"Hisense 55"" U68N Series 4K UHD HDR Mini LED QLED Smart Google TV (55U68N) - 2024",599.99,4.72,461,/en-ca/product/hisense-55-u68n-series-4k-uhd-hdr-mini-led-qled-smart-google-tv-55u68n-2024/17909551,187.232
"Hisense 65"" U78N Series 4K UHD HDR Mini LED QLED Smart Google TV (65U78N) - 2024",999.99,4.77,459,/en-ca/product/hisense-65-u78n-series-4k-uhd-hdr-mini-led-qled-smart-google-tv-65u78n-2024/17909558,186.46200000000002
"Hisense 55"" U78N Series 4K UHD HDR Mini LED QLED Smart Google TV (55U78N) - 2024",799.99,4.78,458,/en-ca/product/hisense-55-u78n-series-4k-uhd-hdr-mini-led-qled-smart-google-tv-55u78n-2024/17909550,186.068
"Sony Bravia 8 77"" XR80 Series 4K UHD HDR OLED Smart Google TV (K77XR80B) - 2024",3299.99,4.6,446,/en-ca/product/sony-bravia-8-77-xr80-series-4k-uhd-hdr-oled-smart-google-tv-k77xr80b-2024/17909539,181.16
"LG 55"" 4K UHD HDR OLED evo G5 webOS Smart TV (OLED55G5SUB) - 2025",3099.99,4.67,424,/en-ca/product/lg-55-4k-uhd-hdr-oled-evo-g5-webos-smart-tv-oled55g5sub-2025/19275493,172.40200000000002
